code_str,labels
"l = 1
x = 5
if(x > 2) {
    g = 3
}
else if(x < 1) {
    x = 0
}
else if(x <= 4) {
    h = 4
}
else {
    h = 2
}
r = 3
if(r < 4) {
    i = 1
}
else {
    d = 0
}
END","[1, 0, 0, 1]"
"j = 2
for(int i=0; i<2; i++) {
    b = 1
}
q = 0
if(q < 2) {
    a = 0
}
else if(q <= 1) {
    u = 5
}
d = 2
if(d <= 5) {
    t = 4
}
else if(d <= 3) {
    j = 1
}
else if(d == 5) {
    x = 4
}
else {
    v = 2
}
for(int i=0; i<2; i++) {
    h = 4
}
o = 0
t = 4
END","[1, 1, 1, 1, 1, 0, 1]"
"u = 1
t = 1
if(t < 4) {
    n = 2
}
else {
    n = 2
}
r = 4
x = 4
if(x < 5) {
    a = 4
}
else if(x == 3) {
    b = 1
}
t = 3
if(t <= 0) {
    i = 0
}
else if(t <= 5) {
    v = 0
}
END","[1, 1, 0, 0, 1]"
"x = 1
z = 2
if(z >= 0) {
    h = 1
}
else if(z >= 1) {
    r = 1
}
else if(z < 3) {
    x = 3
}
else {
    j = 0
}
b = 0
v = 1
z = 5
if(z < 3) {
    u = 0
}
END","[1, 1, 1, 0]"
"d = 4
i = 1
u = 3
for(int i=0; i<2; i++) {
    n = 1
}
s = 1
u = 1
for(int i=0; i<2; i++) {
    e = 0
}
END","[1, 1]"
"d = 2
if(d > 0) {
    i = 3
}
else if(d < 5) {
    d = 4
}
else if(d < 0) {
    y = 2
}
else {
    r = 0
}
s = 0
x = 3
if(x == 4) {
    f = 1
}
for(int i=0; i<0; i++) {
    g = 2
}
for(int i=0; i<2; i++) {
    w = 2
}
for(int i=0; i<2; i++) {
    g = 3
}
END","[1, 1, 0, 0, 0, 1, 1]"
"z = 2
for(int i=0; i<0; i++) {
    t = 5
}
p = 0
for(int i=0; i<3; i++) {
    f = 5
}
a = 2
z = 1
a = 0
END","[0, 1]"
"a = 4
r = 0
if(r < 5) {
    z = 5
}
else if(r == 0) {
    c = 5
}
h = 0
b = 5
if(b == 2) {
    x = 0
}
else {
    s = 4
}
r = 0
if(r == 5) {
    a = 5
}
else {
    o = 1
}
for(int i=0; i<3; i++) {
    l = 3
}
g = 2
END","[1, 1, 0, 0, 1]"
"a = 4
d = 5
if(d == 0) {
    w = 5
}
else if(d > 3) {
    t = 4
}
for(int i=0; i<3; i++) {
    e = 2
}
l = 0
for(int i=0; i<1; i++) {
    c = 1
}
for(int i=0; i<3; i++) {
    f = 5
}
for(int i=0; i<3; i++) {
    r = 5
}
END","[0, 1, 1, 1, 1, 1]"
"q = 4
for(int i=0; i<1; i++) {
    d = 1
}
d = 5
i = 4
l = 5
if(l > 1) {
    u = 0
}
else if(l >= 4) {
    u = 3
}
else {
    b = 5
}
f = 3
END","[1, 1, 1]"
"k = 1
if(k > 1) {
    d = 2
}
else if(k > 1) {
    s = 2
}
else if(k <= 1) {
    q = 4
}
for(int i=0; i<0; i++) {
    e = 1
}
for(int i=0; i<2; i++) {
    u = 0
}
for(int i=0; i<1; i++) {
    k = 2
}
u = 0
if(u < 5) {
    a = 3
}
else if(u < 2) {
    u = 5
}
else if(u > 4) {
    i = 0
}
else {
    j = 0
}
END","[0, 0, 1, 0, 1, 1, 1, 1, 0]"
"b = 1
if(b > 0) {
    r = 5
}
else if(b > 5) {
    t = 0
}
else if(b >= 4) {
    w = 2
}
else {
    b = 2
}
h = 3
if(h > 1) {
    u = 0
}
y = 3
b = 3
if(b > 5) {
    l = 4
}
else if(b < 3) {
    g = 5
}
else if(b == 0) {
    h = 3
}
else {
    e = 5
}
i = 1
x = 4
END","[1, 0, 0, 1, 0, 0, 0]"
"p = 2
r = 3
l = 0
END",[]
"for(int i=0; i<0; i++) {
    g = 3
}
a = 1
if(a >= 2) {
    u = 2
}
else if(a >= 2) {
    c = 1
}
else if(a == 4) {
    g = 3
}
c = 3
for(int i=0; i<1; i++) {
    i = 0
}
END","[0, 0, 0, 0, 1]"
"for(int i=0; i<2; i++) {
    d = 3
}
for(int i=0; i<3; i++) {
    e = 3
}
d = 2
if(d >= 3) {
    v = 5
}
for(int i=0; i<3; i++) {
    e = 3
}
t = 1
if(t < 5) {
    l = 0
}
else if(t > 2) {
    v = 0
}
END","[1, 1, 0, 1, 1, 0]"
"s = 0
for(int i=0; i<2; i++) {
    i = 1
}
y = 3
if(y < 3) {
    i = 5
}
else if(y > 2) {
    s = 1
}
else {
    a = 4
}
a = 3
c = 5
if(c < 5) {
    y = 5
}
else if(c >= 2) {
    o = 0
}
else {
    i = 2
}
f = 2
if(f < 1) {
    x = 4
}
END","[1, 0, 1, 0, 1, 0]"
"q = 0
l = 1
if(l >= 3) {
    j = 4
}
else if(l >= 3) {
    i = 0
}
else if(l < 3) {
    z = 3
}
else {
    h = 2
}
g = 5
if(g < 5) {
    u = 2
}
END","[0, 0, 1, 0]"
"x = 0
n = 0
for(int i=0; i<0; i++) {
    x = 2
}
v = 3
s = 4
x = 5
if(x < 5) {
    d = 3
}
else if(x == 4) {
    c = 2
}
else if(x == 2) {
    q = 4
}
else {
    i = 3
}
v = 4
if(v < 3) {
    k = 4
}
else if(v == 3) {
    a = 5
}
else {
    y = 4
}
END","[0, 0, 0, 0, 0, 0]"
"g = 4
if(g < 2) {
    h = 0
}
for(int i=0; i<2; i++) {
    h = 2
}
u = 4
z = 2
if(z <= 2) {
    s = 5
}
else if(z > 1) {
    r = 5
}
else {
    a = 3
}
g = 2
if(g == 2) {
    p = 5
}
else if(g <= 5) {
    c = 1
}
x = 1
if(x == 2) {
    f = 4
}
else {
    q = 2
}
for(int i=0; i<0; i++) {
    k = 1
}
END","[0, 1, 1, 1, 1, 1, 0, 0]"
"for(int i=0; i<2; i++) {
    y = 3
}
c = 2
if(c > 4) {
    n = 3
}
else if(c <= 0) {
    e = 4
}
else if(c > 3) {
    g = 3
}
else {
    w = 0
}
k = 4
END","[1, 0, 0, 0]"
"e = 4
if(e <= 5) {
    d = 3
}
else {
    h = 5
}
w = 1
if(w <= 4) {
    v = 3
}
else if(w < 1) {
    o = 2
}
for(int i=0; i<1; i++) {
    m = 3
}
v = 0
j = 3
if(j < 2) {
    q = 2
}
else if(j == 4) {
    r = 1
}
END","[1, 1, 0, 1, 0, 0]"
"k = 5
if(k == 0) {
    l = 3
}
o = 3
if(o > 4) {
    t = 5
}
else if(o < 5) {
    k = 3
}
k = 3
l = 4
END","[0, 0, 1]"
"for(int i=0; i<3; i++) {
    s = 0
}
w = 4
o = 5
for(int i=0; i<1; i++) {
    o = 0
}
for(int i=0; i<3; i++) {
    z = 5
}
for(int i=0; i<2; i++) {
    m = 4
}
END","[1, 1, 1, 1]"
"for(int i=0; i<3; i++) {
    c = 3
}
b = 1
j = 4
if(j == 1) {
    k = 5
}
else {
    u = 1
}
e = 2
if(e < 1) {
    u = 4
}
else if(e < 2) {
    v = 4
}
else {
    u = 2
}
END","[1, 0, 0, 0]"
"for(int i=0; i<1; i++) {
    b = 2
}
t = 0
if(t <= 5) {
    r = 4
}
else {
    x = 1
}
for(int i=0; i<0; i++) {
    e = 0
}
u = 0
END","[1, 1, 0]"
"for(int i=0; i<1; i++) {
    h = 2
}
for(int i=0; i<1; i++) {
    d = 4
}
i = 2
if(i > 3) {
    z = 5
}
else if(i == 5) {
    i = 4
}
END","[1, 1, 0, 0]"
"k = 4
d = 5
if(d > 1) {
    f = 5
}
else if(d == 1) {
    w = 3
}
else {
    k = 1
}
k = 5
if(k == 1) {
    k = 4
}
else if(k == 2) {
    m = 1
}
else if(k == 2) {
    s = 1
}
for(int i=0; i<0; i++) {
    v = 2
}
f = 5
if(f == 4) {
    y = 3
}
else if(f < 3) {
    s = 3
}
else if(f <= 1) {
    g = 4
}
else {
    p = 3
}
for(int i=0; i<0; i++) {
    r = 5
}
for(int i=0; i<2; i++) {
    z = 3
}
END","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"h = 4
e = 0
n = 2
for(int i=0; i<0; i++) {
    e = 4
}
for(int i=0; i<2; i++) {
    a = 2
}
END","[0, 1]"
"u = 3
v = 3
if(v <= 5) {
    p = 5
}
for(int i=0; i<1; i++) {
    t = 3
}
for(int i=0; i<3; i++) {
    l = 2
}
for(int i=0; i<1; i++) {
    y = 2
}
v = 3
END","[1, 1, 1, 1]"
"f = 2
for(int i=0; i<0; i++) {
    r = 1
}
v = 2
if(v < 3) {
    b = 5
}
else if(v < 2) {
    k = 5
}
else if(v == 3) {
    l = 3
}
else {
    z = 4
}
c = 4
for(int i=0; i<2; i++) {
    t = 5
}
u = 2
END","[0, 1, 0, 0, 1]"
"o = 4
if(o > 2) {
    g = 1
}
j = 4
x = 2
if(x > 1) {
    y = 2
}
m = 4
if(m <= 2) {
    y = 3
}
else if(m > 5) {
    t = 1
}
else if(m > 5) {
    n = 1
}
g = 5
END","[1, 1, 0, 0, 0]"
"f = 4
if(f <= 5) {
    x = 2
}
else if(f == 4) {
    z = 1
}
else if(f <= 4) {
    j = 5
}
p = 4
x = 4
if(x > 1) {
    k = 4
}
else {
    z = 3
}
z = 0
if(z > 0) {
    y = 1
}
else {
    z = 1
}
for(int i=0; i<3; i++) {
    f = 1
}
d = 3
if(d == 0) {
    r = 0
}
else if(d == 2) {
    h = 5
}
else if(d < 3) {
    l = 0
}
else {
    s = 4
}
n = 4
END","[1, 1, 1, 1, 0, 1, 0, 0, 0]"
"o = 0
w = 5
if(w == 3) {
    i = 0
}
else if(w == 1) {
    o = 2
}
p = 5
if(p >= 2) {
    v = 5
}
else if(p > 5) {
    j = 2
}
else if(p > 2) {
    u = 0
}
c = 4
e = 4
v = 3
if(v >= 2) {
    g = 0
}
else if(v <= 0) {
    i = 0
}
else if(v <= 0) {
    q = 4
}
END","[0, 0, 1, 0, 1, 1, 0, 0]"
"r = 4
r = 2
j = 5
h = 5
b = 5
if(b <= 1) {
    q = 0
}
else if(b == 5) {
    y = 1
}
else if(b == 0) {
    l = 4
}
g = 4
for(int i=0; i<1; i++) {
    u = 2
}
END","[0, 1, 0, 1]"
"o = 1
g = 4
if(g < 0) {
    k = 1
}
else if(g == 1) {
    n = 0
}
f = 3
if(f >= 0) {
    y = 2
}
v = 1
for(int i=0; i<0; i++) {
    s = 5
}
g = 2
w = 4
END","[0, 0, 1, 0]"
"i = 1
w = 2
t = 2
v = 0
e = 4
q = 4
END",[]
"for(int i=0; i<1; i++) {
    q = 4
}
d = 2
if(d == 0) {
    s = 1
}
else if(d <= 5) {
    q = 4
}
else {
    d = 5
}
for(int i=0; i<2; i++) {
    m = 4
}
w = 1
if(w >= 0) {
    m = 0
}
END","[1, 0, 1, 1, 1]"
"n = 1
if(n < 5) {
    g = 0
}
else {
    e = 2
}
for(int i=0; i<1; i++) {
    g = 4
}
v = 0
if(v >= 3) {
    p = 3
}
else if(v < 4) {
    x = 5
}
else if(v >= 1) {
    w = 4
}
for(int i=0; i<2; i++) {
    k = 2
}
v = 4
k = 0
d = 1
END","[1, 1, 0, 1, 0, 1]"
"c = 5
if(c == 2) {
    k = 0
}
else if(c < 1) {
    f = 0
}
else if(c == 4) {
    c = 1
}
m = 5
v = 5
if(v < 4) {
    m = 5
}
else if(v < 3) {
    x = 5
}
else if(v <= 3) {
    e = 0
}
y = 1
if(y < 1) {
    t = 0
}
else {
    p = 1
}
END","[0, 0, 0, 0, 0, 0, 0]"
"i = 2
if(i < 5) {
    j = 3
}
for(int i=0; i<2; i++) {
    k = 2
}
x = 3
if(x <= 5) {
    t = 5
}
for(int i=0; i<0; i++) {
    v = 4
}
y = 5
if(y == 1) {
    d = 0
}
else if(y <= 5) {
    a = 1
}
else {
    z = 4
}
END","[1, 1, 1, 0, 0, 1]"
"t = 4
d = 5
if(d == 2) {
    i = 2
}
else if(d >= 3) {
    b = 1
}
else if(d >= 5) {
    w = 1
}
else {
    p = 3
}
g = 4
if(g > 2) {
    e = 2
}
else if(g <= 2) {
    e = 1
}
else if(g == 2) {
    a = 2
}
else {
    p = 3
}
v = 3
if(v <= 5) {
    i = 3
}
else if(v > 2) {
    a = 0
}
else if(v > 2) {
    j = 0
}
k = 3
if(k <= 1) {
    i = 1
}
END","[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]"
"i = 5
z = 5
q = 3
a = 3
for(int i=0; i<2; i++) {
    e = 0
}
END",[1]
"t = 1
for(int i=0; i<1; i++) {
    z = 0
}
u = 3
s = 1
END",[1]
"f = 1
q = 4
for(int i=0; i<1; i++) {
    l = 4
}
for(int i=0; i<3; i++) {
    p = 0
}
j = 5
if(j > 3) {
    q = 3
}
else if(j <= 1) {
    j = 3
}
else if(j > 0) {
    u = 0
}
k = 2
if(k > 5) {
    l = 5
}
h = 0
if(h > 2) {
    t = 3
}
else if(h == 2) {
    d = 3
}
else {
    m = 2
}
END","[1, 1, 1, 0, 1, 0, 0, 0]"
"for(int i=0; i<3; i++) {
    f = 0
}
m = 1
if(m >= 1) {
    b = 4
}
for(int i=0; i<0; i++) {
    w = 0
}
for(int i=0; i<2; i++) {
    m = 2
}
END","[1, 1, 0, 1]"
"for(int i=0; i<2; i++) {
    u = 0
}
y = 0
r = 5
if(r == 0) {
    h = 0
}
else if(r <= 4) {
    y = 0
}
else {
    j = 3
}
s = 3
if(s <= 1) {
    g = 1
}
else if(s <= 0) {
    s = 1
}
else if(s >= 0) {
    u = 3
}
else {
    m = 4
}
END","[1, 0, 0, 0, 0, 1]"
"for(int i=0; i<2; i++) {
    x = 3
}
c = 4
if(c >= 0) {
    v = 2
}
else if(c <= 5) {
    f = 2
}
else if(c < 2) {
    x = 0
}
v = 1
if(v == 4) {
    k = 0
}
else if(v < 2) {
    o = 4
}
else {
    u = 0
}
b = 2
END","[1, 1, 1, 0, 0, 1]"
"m = 2
if(m <= 3) {
    y = 1
}
u = 4
if(u <= 5) {
    v = 0
}
else {
    l = 5
}
n = 1
p = 5
if(p == 5) {
    h = 3
}
else if(p > 1) {
    z = 4
}
else if(p >= 1) {
    u = 2
}
i = 2
if(i > 1) {
    u = 1
}
else {
    h = 0
}
END","[1, 1, 1, 1, 1, 1]"
"d = 1
s = 0
for(int i=0; i<2; i++) {
    b = 4
}
for(int i=0; i<0; i++) {
    z = 4
}
END","[1, 0]"
"p = 1
for(int i=0; i<3; i++) {
    g = 1
}
c = 2
if(c >= 1) {
    q = 0
}
else if(c == 1) {
    l = 1
}
n = 3
if(n >= 0) {
    e = 0
}
else if(n == 4) {
    l = 2
}
else {
    z = 0
}
for(int i=0; i<0; i++) {
    f = 5
}
s = 1
END","[1, 1, 0, 1, 0, 0]"
"e = 1
if(e == 2) {
    c = 2
}
o = 3
o = 1
g = 4
if(g < 5) {
    l = 4
}
else if(g <= 2) {
    l = 1
}
else if(g > 4) {
    d = 4
}
for(int i=0; i<0; i++) {
    g = 4
}
j = 2
END","[0, 1, 0, 0, 0]"
"for(int i=0; i<0; i++) {
    c = 4
}
g = 0
n = 1
if(n > 1) {
    p = 4
}
else {
    g = 1
}
for(int i=0; i<2; i++) {
    u = 0
}
c = 5
h = 3
if(h < 1) {
    x = 4
}
else if(h == 2) {
    h = 4
}
else {
    s = 2
}
END","[0, 0, 1, 0, 0]"
"k = 4
if(k <= 3) {
    c = 4
}
else if(k < 5) {
    j = 0
}
else if(k <= 0) {
    d = 3
}
d = 0
if(d > 2) {
    m = 0
}
else if(d <= 0) {
    n = 2
}
t = 3
if(t <= 3) {
    n = 1
}
else if(t < 0) {
    a = 0
}
else if(t == 2) {
    p = 2
}
else {
    q = 2
}
u = 2
if(u <= 0) {
    y = 3
}
else if(u >= 5) {
    c = 5
}
else if(u < 3) {
    b = 2
}
for(int i=0; i<3; i++) {
    l = 1
}
x = 3
if(x == 5) {
    u = 0
}
else if(x > 3) {
    i = 2
}
else if(x <= 1) {
    x = 5
}
else {
    s = 5
}
END","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
"for(int i=0; i<0; i++) {
    d = 2
}
for(int i=0; i<1; i++) {
    c = 2
}
x = 4
if(x >= 3) {
    j = 4
}
END","[0, 1, 1]"
"f = 1
h = 0
if(h < 1) {
    f = 4
}
else if(h > 3) {
    s = 5
}
else {
    b = 4
}
t = 3
i = 5
v = 1
z = 5
if(z <= 0) {
    y = 4
}
w = 5
END","[1, 0, 0]"
"y = 1
f = 0
g = 4
u = 2
y = 3
if(y > 4) {
    g = 3
}
else if(y > 5) {
    p = 3
}
else {
    h = 4
}
i = 4
if(i < 0) {
    d = 1
}
else if(i > 0) {
    d = 2
}
END","[0, 0, 0, 1]"
"h = 4
i = 4
for(int i=0; i<0; i++) {
    n = 1
}
for(int i=0; i<0; i++) {
    j = 3
}
z = 2
END","[0, 0]"
"b = 5
a = 3
for(int i=0; i<0; i++) {
    w = 3
}
a = 0
if(a < 3) {
    l = 1
}
else if(a > 0) {
    m = 1
}
else if(a > 0) {
    m = 5
}
a = 3
if(a <= 4) {
    l = 4
}
else if(a < 4) {
    p = 1
}
else if(a <= 0) {
    r = 2
}
x = 5
y = 4
if(y == 1) {
    x = 5
}
else if(y == 0) {
    p = 5
}
else if(y > 1) {
    i = 2
}
END","[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
"a = 2
for(int i=0; i<1; i++) {
    s = 3
}
j = 2
w = 2
END",[1]
"for(int i=0; i<3; i++) {
    n = 2
}
o = 4
for(int i=0; i<1; i++) {
    u = 0
}
for(int i=0; i<3; i++) {
    m = 5
}
END","[1, 1, 1]"
"j = 5
for(int i=0; i<2; i++) {
    p = 3
}
for(int i=0; i<3; i++) {
    m = 0
}
for(int i=0; i<2; i++) {
    h = 0
}
b = 5
for(int i=0; i<3; i++) {
    t = 5
}
END","[1, 1, 1, 1]"
"for(int i=0; i<3; i++) {
    z = 4
}
y = 0
for(int i=0; i<2; i++) {
    i = 0
}
END","[1, 1]"
"for(int i=0; i<1; i++) {
    n = 5
}
r = 2
x = 3
if(x <= 4) {
    e = 4
}
else {
    n = 0
}
END","[1, 1]"
"d = 5
z = 1
z = 0
n = 4
for(int i=0; i<2; i++) {
    w = 4
}
END",[1]
"for(int i=0; i<1; i++) {
    m = 5
}
d = 5
o = 2
if(o <= 4) {
    o = 2
}
else {
    v = 3
}
for(int i=0; i<2; i++) {
    u = 1
}
f = 0
if(f <= 3) {
    g = 4
}
else if(f >= 2) {
    b = 1
}
x = 5
END","[1, 1, 1, 1, 0]"
"k = 3
if(k <= 2) {
    u = 2
}
else if(k <= 0) {
    i = 5
}
else if(k >= 3) {
    d = 1
}
b = 1
v = 3
v = 4
for(int i=0; i<1; i++) {
    m = 0
}
s = 2
END","[0, 0, 1, 1]"
"for(int i=0; i<3; i++) {
    u = 0
}
t = 4
for(int i=0; i<1; i++) {
    q = 2
}
for(int i=0; i<0; i++) {
    q = 3
}
o = 0
if(o < 2) {
    d = 4
}
END","[1, 1, 0, 1]"
"for(int i=0; i<2; i++) {
    k = 1
}
t = 4
if(t < 4) {
    c = 4
}
else if(t < 2) {
    v = 5
}
else if(t == 5) {
    i = 2
}
else {
    h = 0
}
r = 2
for(int i=0; i<0; i++) {
    i = 3
}
w = 3
for(int i=0; i<0; i++) {
    y = 2
}
END","[1, 0, 0, 0, 0, 0]"
"x = 3
if(x < 3) {
    o = 4
}
for(int i=0; i<0; i++) {
    e = 1
}
for(int i=0; i<1; i++) {
    c = 0
}
for(int i=0; i<3; i++) {
    c = 4
}
END","[0, 0, 1, 1]"
"q = 4
if(q < 5) {
    b = 3
}
else if(q <= 3) {
    q = 0
}
else if(q == 2) {
    l = 3
}
v = 2
j = 3
p = 3
for(int i=0; i<0; i++) {
    l = 2
}
for(int i=0; i<3; i++) {
    k = 0
}
END","[1, 0, 0, 0, 1]"
"t = 2
w = 5
k = 4
END",[]
"c = 5
if(c >= 0) {
    o = 0
}
else if(c > 5) {
    c = 3
}
else {
    r = 4
}
f = 5
if(f <= 4) {
    b = 1
}
else if(f < 3) {
    h = 4
}
else {
    y = 4
}
o = 3
if(o == 2) {
    o = 5
}
else if(o >= 0) {
    k = 5
}
END","[1, 0, 0, 0, 0, 1]"
"for(int i=0; i<0; i++) {
    x = 3
}
b = 3
if(b < 0) {
    g = 5
}
y = 2
if(y < 3) {
    m = 3
}
b = 5
if(b == 5) {
    u = 3
}
else if(b == 1) {
    x = 0
}
else {
    d = 3
}
for(int i=0; i<3; i++) {
    v = 0
}
x = 1
if(x >= 1) {
    o = 5
}
else if(x == 3) {
    a = 1
}
s = 1
END","[0, 0, 1, 1, 0, 1, 1, 0]"
"o = 0
for(int i=0; i<1; i++) {
    v = 0
}
q = 4
END",[1]
"r = 3
k = 5
if(k <= 3) {
    q = 2
}
else if(k >= 5) {
    y = 2
}
f = 5
if(f >= 0) {
    f = 3
}
else {
    i = 1
}
a = 1
if(a > 2) {
    e = 3
}
else {
    t = 5
}
c = 3
y = 5
if(y < 5) {
    h = 3
}
else if(y < 3) {
    j = 4
}
else if(y >= 1) {
    t = 2
}
else {
    w = 2
}
END","[0, 1, 1, 0, 0, 0, 1]"
"for(int i=0; i<0; i++) {
    c = 1
}
s = 5
for(int i=0; i<2; i++) {
    p = 5
}
h = 3
if(h == 4) {
    f = 4
}
else if(h == 5) {
    l = 0
}
else {
    v = 2
}
for(int i=0; i<2; i++) {
    w = 3
}
END","[0, 1, 0, 0, 1]"
"p = 4
for(int i=0; i<0; i++) {
    f = 5
}
j = 2
m = 3
for(int i=0; i<1; i++) {
    d = 4
}
for(int i=0; i<1; i++) {
    w = 3
}
for(int i=0; i<3; i++) {
    a = 4
}
END","[0, 1, 1, 1]"
"for(int i=0; i<1; i++) {
    k = 4
}
l = 3
r = 0
if(r >= 0) {
    y = 1
}
else if(r <= 1) {
    v = 5
}
else if(r >= 5) {
    p = 4
}
else {
    u = 4
}
END","[1, 1, 1, 0]"
"for(int i=0; i<2; i++) {
    y = 0
}
p = 4
x = 3
for(int i=0; i<3; i++) {
    m = 0
}
p = 4
if(p > 0) {
    d = 2
}
else if(p == 2) {
    i = 1
}
else {
    k = 5
}
h = 3
for(int i=0; i<3; i++) {
    j = 1
}
END","[1, 1, 1, 0, 1]"
"a = 1
for(int i=0; i<1; i++) {
    h = 0
}
k = 3
for(int i=0; i<1; i++) {
    d = 5
}
for(int i=0; i<1; i++) {
    o = 4
}
END","[1, 1, 1]"
"m = 4
v = 4
for(int i=0; i<1; i++) {
    b = 5
}
e = 4
if(e <= 2) {
    r = 0
}
else if(e > 2) {
    z = 5
}
for(int i=0; i<2; i++) {
    w = 3
}
q = 1
END","[1, 0, 1, 1]"
"a = 2
for(int i=0; i<2; i++) {
    i = 0
}
o = 4
n = 5
if(n >= 0) {
    i = 1
}
else if(n > 0) {
    r = 2
}
else if(n <= 0) {
    i = 3
}
for(int i=0; i<1; i++) {
    s = 2
}
v = 4
if(v == 5) {
    m = 3
}
else if(v >= 0) {
    a = 1
}
else if(v == 4) {
    d = 5
}
else {
    h = 1
}
END","[1, 1, 1, 0, 1, 0, 1, 1]"
"for(int i=0; i<3; i++) {
    v = 5
}
e = 5
e = 4
if(e == 3) {
    n = 0
}
else if(e <= 1) {
    u = 3
}
else if(e > 4) {
    w = 4
}
else {
    r = 3
}
j = 3
u = 0
z = 4
if(z < 1) {
    n = 4
}
else if(z <= 3) {
    f = 4
}
else if(z <= 0) {
    u = 2
}
END","[1, 0, 0, 0, 0, 0, 0]"
"for(int i=0; i<3; i++) {
    m = 1
}
d = 0
if(d == 5) {
    g = 1
}
else if(d >= 5) {
    v = 2
}
else if(d == 0) {
    r = 5
}
else {
    i = 0
}
b = 2
t = 0
c = 3
if(c == 1) {
    s = 0
}
else {
    r = 3
}
END","[1, 0, 0, 1, 0]"
"p = 3
l = 2
if(l <= 3) {
    x = 2
}
for(int i=0; i<0; i++) {
    d = 4
}
k = 2
l = 2
b = 0
if(b <= 0) {
    p = 2
}
else {
    r = 0
}
END","[1, 0, 1]"
"p = 5
if(p < 5) {
    h = 3
}
else {
    f = 0
}
for(int i=0; i<1; i++) {
    w = 0
}
for(int i=0; i<3; i++) {
    g = 0
}
u = 4
END","[0, 1, 1]"
"s = 0
for(int i=0; i<1; i++) {
    y = 3
}
l = 4
if(l >= 0) {
    k = 5
}
e = 3
END","[1, 1]"
"h = 3
q = 1
for(int i=0; i<1; i++) {
    c = 1
}
e = 4
r = 5
if(r > 1) {
    w = 1
}
else if(r > 5) {
    e = 3
}
c = 0
i = 1
END","[1, 1, 0]"
"for(int i=0; i<0; i++) {
    u = 5
}
q = 4
if(q >= 2) {
    s = 4
}
else {
    u = 1
}
e = 0
e = 1
if(e < 5) {
    i = 4
}
else {
    z = 5
}
for(int i=0; i<2; i++) {
    k = 4
}
END","[0, 1, 1, 1]"
"h = 2
x = 2
if(x == 0) {
    z = 5
}
else if(x < 4) {
    d = 2
}
else {
    w = 4
}
g = 3
END","[0, 1]"
"n = 0
if(n < 4) {
    c = 4
}
f = 4
if(f == 0) {
    e = 0
}
else if(f >= 0) {
    w = 5
}
else if(f <= 2) {
    v = 1
}
else {
    g = 2
}
for(int i=0; i<0; i++) {
    i = 2
}
m = 4
for(int i=0; i<2; i++) {
    h = 3
}
for(int i=0; i<1; i++) {
    p = 2
}
END","[1, 0, 1, 0, 0, 1, 1]"
"s = 5
q = 4
w = 0
y = 0
END",[]
"c = 3
if(c == 1) {
    d = 5
}
else if(c > 1) {
    h = 2
}
else if(c == 5) {
    q = 3
}
t = 5
if(t < 0) {
    a = 0
}
else {
    e = 2
}
m = 0
for(int i=0; i<3; i++) {
    k = 2
}
n = 2
x = 5
for(int i=0; i<2; i++) {
    h = 3
}
END","[0, 1, 0, 0, 1, 1]"
"a = 4
if(a < 5) {
    m = 2
}
else {
    y = 4
}
x = 0
if(x <= 0) {
    o = 0
}
i = 4
END","[1, 1]"
"u = 2
for(int i=0; i<0; i++) {
    b = 0
}
r = 5
w = 3
END",[0]
"for(int i=0; i<3; i++) {
    h = 3
}
for(int i=0; i<1; i++) {
    b = 0
}
l = 5
if(l == 5) {
    v = 3
}
else if(l > 4) {
    h = 5
}
else if(l == 2) {
    l = 2
}
w = 2
if(w > 3) {
    f = 1
}
else {
    n = 5
}
b = 2
for(int i=0; i<3; i++) {
    l = 2
}
u = 0
if(u == 4) {
    e = 3
}
else if(u <= 0) {
    a = 2
}
END","[1, 1, 1, 1, 0, 0, 1, 0, 1]"
"b = 4
g = 1
l = 3
if(l == 2) {
    p = 4
}
c = 4
if(c >= 4) {
    s = 5
}
END","[0, 1]"
"for(int i=0; i<1; i++) {
    n = 3
}
l = 1
a = 3
END",[1]
"k = 2
for(int i=0; i<0; i++) {
    o = 0
}
q = 3
l = 2
y = 4
END",[0]
"for(int i=0; i<2; i++) {
    b = 5
}
l = 3
p = 0
if(p >= 5) {
    h = 3
}
else if(p < 3) {
    m = 3
}
else if(p >= 0) {
    m = 0
}
else {
    d = 3
}
END","[1, 0, 1, 1]"
"for(int i=0; i<2; i++) {
    o = 0
}
b = 1
if(b == 5) {
    i = 2
}
else if(b > 5) {
    c = 0
}
else {
    i = 3
}
r = 5
END","[1, 0, 0]"
"z = 3
if(z >= 1) {
    p = 4
}
for(int i=0; i<1; i++) {
    c = 1
}
c = 1
if(c > 2) {
    f = 3
}
else if(c == 2) {
    q = 4
}
else if(c == 1) {
    j = 1
}
else {
    w = 4
}
e = 0
for(int i=0; i<2; i++) {
    l = 0
}
f = 3
if(f > 2) {
    u = 2
}
else if(f <= 4) {
    f = 0
}
END","[1, 1, 0, 0, 1, 1, 1, 1]"
